,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
142,143,Hotel Artemis,Global Road,"June 8, 2018",Action Thriller,1 hrs. 33 min.,R,N/A,"$6,043,642",Global Road,"$6,708,147","2,407","$3,232,790","2,407",6/8,7/19
143,144,A.X.L.,Global Road,"August 24, 2018",Family Adventure,1 hrs. 38 min.,PG,N/A,no dist,Global Road,"$6,501,381","1,710","$2,798,229","1,710",8/24,10/18
144,145,Fahrenheit 11/9,Briarcliff,"September 21, 2018",Documentary,2 hrs. 8 min.,R,N/A,no dist,Briarcliff,"$6,352,306","1,719","$3,008,563","1,719",9/21,11/1
145,146,Unbroken: Path to Redemption,Pure Flix,"September 14, 2018",Drama,1 hrs. 38 min.,PG-13,N/A,no dist,PFR,"$6,216,897","1,620","$2,238,723","1,620",9/14,11/29
146,147,The Hurricane Heist,Entertainment Studios,"March 9, 2018",Action Thriller,1 hrs. 43 min.,PG-13,$35 million,n/a,ENTMP,"$6,115,825","2,402","$3,024,399","2,402",3/9,5/10
147,148,Every Day (2018),Orion Pictures,"February 23, 2018",Drama,1 hrs. 35 min.,PG-13,$4.9 million,n/a,Orion,"$6,102,076","1,669","$3,016,149","1,667",2/23,3/22
148,149,Once Upon a Deadpool,Fox,"December 12, 2018",Action,1 hrs. 57 min.,PG-13,N/A,"$44,400,000",Fox,"$6,100,309","1,566","$2,683,200","1,566",12/12,1/24
149,150,Leave No Trace,Bleecker Street,"June 29, 2018",Drama,1 hrs. 48 min.,PG,N/A,n/a,BST,"$6,046,104",361,"$219,140",9,6/29,10/4
150,151,Death of a Nation,Quality Flix,"August 3, 2018",Documentary,1 hrs. 49 min.,PG-13,$6 million,no dist,QF,"$5,885,881","1,005","$2,356,522","1,005",8/3,10/11
151,152,Pandas,Warner Bros.,"April 6, 2018",Documentary,0 hrs. 40 min.,G,N/A,no dist,WB,"$5,757,906",35,"$158,915",33,4/6,7/15
152,153,My Hero Academia: Two Heroes,FUNimation Films,"September 25, 2018",Animation,1 hrs. 36 min.,PG-13,N/A,n/a,FUN,"$5,754,556",535,"$1,388,499",508,9/25,10/9
153,154,God's Not Dead: A Light in Darkness,Pure Flix,"March 30, 2018",Drama,1 hrs. 46 min.,PG,N/A,no dist,PFR,"$5,728,940","1,693","$2,689,677","1,693",3/30,6/14
154,155,Kin,Lionsgate,"August 31, 2018",Sci-Fi Action,1 hrs. 42 min.,PG-13,N/A,"$4,309,460",LGF,"$5,718,096","2,141","$3,035,618","2,141",8/31,9/27
155,156,Stan & Ollie,Sony Classics,"December 28, 2018",Comedy / Drama,1 hrs. 37 min.,PG,N/A,no dist,SPC,"$5,470,235",754,"$78,104",5,12/28,5/19
156,157,Colette,Bleecker Street,"September 21, 2018",Drama,1 hrs. 51 min.,R,N/A,n/a,BST,"$5,137,622",593,"$161,179",4,9/21,11/29
157,158,Simmba,Reliance Big Pictures,"December 28, 2018",Action,2 hrs. 38 min.,Unrated,N/A,no dist,Relbig.,"$5,102,129",301,"$1,758,576",301,12/28,2/3
158,159,Action Point,Paramount,"June 1, 2018",Comedy,1 hrs. 25 min.,R,$19 million,no dist,Par.,"$5,059,608","2,032","$2,390,164","2,032",6/1,6/14
159,160,Beirut,Bleecker Street,"April 11, 2018",War Drama,1 hrs. 49 min.,R,N/A,"$2,490,210",BST,"$5,019,226",755,"$1,734,497",755,4/11,6/14
160,161,Gringo,STX Entertainment,"March 9, 2018",Comedy,1 hrs. 50 min.,R,N/A,"$6,031,774",STX,"$4,969,853","2,404","$2,722,420","2,404",3/9,4/5
161,162,Samson,Pure Flix,"February 16, 2018",Drama,1 hrs. 50 min.,PG-13,N/A,no dist,PFR,"$4,719,928","1,249","$1,942,569","1,249",2/16,4/12
162,163,Cold War (2018),Amazon Studios,"December 21, 2018",Drama,1 hrs. 29 min.,R,N/A,n/a,Amazon,"$4,580,048",270,"$54,353",3,12/21,4/4
163,164,Johnny English Strikes Again,Universal,"October 26, 2018",Action Comedy,1 hrs. 28 min.,PG,$25 million,"$154,541,694",Uni.,"$4,412,170",552,"$1,638,895",544,10/26,11/22
164,165,Gotti,Vertical Entertainment,"June 15, 2018",Crime Drama,1 hrs. 45 min.,R,N/A,n/a,VE,"$4,343,227",503,"$1,719,902",503,6/15,7/23
165,166,Blindspotting,Lionsgate/Summit,"July 20, 2018",Comedy / Drama,1 hrs. 35 min.,R,N/A,"$530,192",LG/S,"$4,333,394",523,"$338,999",14,7/20,9/13
166,167,Burn the Stage: The Movie,Trafalgar Releasing,"November 15, 2018",Documentary,1 hrs. 24 min.,Unrated,N/A,"$16,145,694",Trafalgar,"$4,201,819",645,"$2,420,197",629,11/15,12/9
167,168,Ya Veremos,Pantelion,"August 31, 2018",Comedy / Drama,1 hrs. 37 min.,PG-13,N/A,n/a,PNT,"$4,165,949",369,"$1,803,848",369,8/31,10/11
168,169,2.0,Unknown,"November 30, 2018",Sci-Fi Action,2 hrs. 28 min.,Unrated,N/A,no dist,N/A,"$4,152,000",314,"$2,775,000",314,11/30,12/6
169,170,Amazing Grace (2019),Neon,"December 7, 2018",Documentary,1 hrs. 27 min.,G,N/A,no dist,Neon,"$4,146,847",263,"$57,353",3,12/7,-
170,171,Life Itself (2018),Amazon Studios,"September 21, 2018",Drama,1 hrs. 57 min.,R,N/A,"$3,687,623",Amazon,"$4,102,648","2,609","$2,123,463","2,609",9/21,-
171,172,Sgt. Stubby: An American Hero,Fun Academy,"April 13, 2018",Animation,1 hrs. 30 min.,PG,N/A,no dist,FunAcad,"$4,015,935","1,633","$1,164,403","1,633",4/13,1/10
172,173,Ben is Back,Roadside Attractions,"December 7, 2018",Drama,1 hrs. 42 min.,R,N/A,n/a,RAtt.,"$3,703,184",598,"$80,734",4,12/7,2/21
173,174,Gosnell: The Trial of America's Biggest Serial Killer,GVN Releasing,"October 12, 2018",Drama,1 hrs. 33 min.,PG-13,N/A,no dist,GVN,"$3,679,893",673,"$1,162,988",673,10/12,12/17
174,175,Indivisible,Pure Flix,"October 26, 2018",Drama,1 hrs. 59 min.,PG-13,N/A,no dist,PFR,"$3,511,417",830,"$1,503,101",830,10/26,1/3
175,176,The Oscar Nominated Short Films 2018,Shorts International,"February 9, 2018",Drama,1 hrs. 36 min.,Unrated,N/A,no dist,Shrts.,"$3,508,777",272,"$695,044",198,2/9,3/22
176,177,Disobedience,Bleecker Street,"April 27, 2018",Drama,1 hrs. 54 min.,R,N/A,"$4,371,345",BST,"$3,498,782",247,"$237,393",5,4/27,8/2
177,178,First Reformed,A24,"May 18, 2018",Thriller,1 hrs. 53 min.,R,N/A,no dist,A24,"$3,448,256",334,"$97,562",4,5/18,8/2
178,179,"Juliet, Naked",Roadside Attractions,"August 17, 2018",Romantic Comedy,1 hrs. 38 min.,R,N/A,no dist,RAtt.,"$3,444,895",467,"$60,886",4,8/17,10/25
179,180,Bad Samaritan,Electric Entertainment,"May 4, 2018",Horror Thriller,1 hrs. 48 min.,R,N/A,n/a,Electric,"$3,435,047","2,007","$1,726,868","2,007",5/4,5/24
180,181,7 Days in Entebbe,Focus Features,"March 16, 2018",Action Thriller,1 hrs. 47 min.,PG-13,N/A,"$5,358,216",Focus,"$3,326,885",838,"$1,592,645",838,3/16,4/12
181,182,Shoplifters,Magnolia,"November 23, 2018",Drama,2 hrs. 1 min.,R,N/A,n/a,Magn.,"$3,313,513",144,"$89,264",5,11/23,5/2
182,183,2001: A Space Odyssey (2018 re-release),Warner Bros.,"May 18, 2018",Sci-Fi,2 hrs. 29 min.,G,N/A,n/a,WB,"$3,236,321",13,"$202,759",4,5/18,7/15
183,184,The Sisters Brothers,Annapurna Pictures,"September 21, 2018",Western,2 hrs. 0 min.,R,N/A,"$10,000,000",Annapurna,"$3,143,056","1,141","$115,575",4,9/21,12/20
184,185,Thoroughbreds,Focus Features,"March 9, 2018",Drama / Thriller,1 hrs. 32 min.,R,N/A,no dist,Focus,"$3,072,605",564,"$1,224,430",549,3/9,4/26
185,186,Whitney,Roadside Attractions,"July 6, 2018",Documentary,2 hrs. 0 min.,R,N/A,no dist,RAtt.,"$3,026,351",451,"$1,265,572",451,7/6,9/20
186,187,Rachel Hollis Presents: Made for More,Fathom,"August 2, 2018",Unknown,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$2,999,134",703,N/A,N/A,8/2,1/9
187,188,American Animals,The Orchard,"June 1, 2018",Crime Drama,1 hrs. 57 min.,R,N/A,no dist,Orch.,"$2,856,954",339,"$134,793",4,6/1,8/30
188,189,God Bless the Broken Road,Freestyle Releasing,"September 7, 2018",Drama,1 hrs. 51 min.,PG,N/A,no dist,Free,"$2,846,257","1,272","$1,386,254","1,272",9/7,11/8
189,190,La Boda de Valentina,Pantelion,"February 9, 2018",Romantic Comedy,1 hrs. 47 min.,R,N/A,n/a,PNT,"$2,783,739",331,"$1,147,073",331,2/9,3/15
190,191,Bharat Ane Nenu,Great India Films,"April 20, 2018",Action Drama,2 hrs. 53 min.,Unrated,N/A,no dist,GrtIndia,"$2,663,090",305,"$2,663,090",305,4/20,-
191,192,Qué León (What A Lion),Spanglish Movies,"November 29, 2018",Romantic Comedy,1 hrs. 33 min.,PG-13,N/A,"$5,200,000",Spanglish,"$2,607,916",86,"$291,936",34,11/29,3/17
192,193,You Were Never Really Here,Amazon Studios,"April 6, 2018",Drama / Thriller,1 hrs. 25 min.,R,N/A,n/a,Amazon,"$2,528,078",233,"$132,829",3,4/6,6/14
193,194,Suspiria,Amazon Studios,"October 26, 2018",Horror,2 hrs. 35 min.,R,N/A,"$5,419,814",Amazon,"$2,483,472",311,"$184,037",2,10/26,12/20
194,195,The Rider,Sony Classics,"April 13, 2018",Drama,1 hrs. 44 min.,R,N/A,n/a,SPC,"$2,419,031",224,"$42,244",3,4/13,12/13
195,196,Mary and the Witch's Flower,GKIDS,"January 18, 2018",Animation,1 hrs. 42 min.,PG,N/A,n/a,GK,"$2,418,404",573,"$348,475",161,1/18,4/5
196,197,Hearts Beat Loud,Gunpowder & Sky,"June 8, 2018",Comedy / Drama,1 hrs. 37 min.,PG-13,N/A,no dist,G&S,"$2,386,251",170,"$74,524",4,6/8,8/30
197,198,1991,Entertainment One,"July 27, 2018",Comedy,2 hrs. 21 min.,Unrated,N/A,no dist,EOne,"$2,342,264",83,"$328,828",83,7/27,11/4
198,199,Papillon (2018),Bleecker Street,"August 24, 2018",Drama,2 hrs. 16 min.,R,N/A,"$2,180,684",BST,"$2,335,896",544,"$1,090,073",544,8/24,9/13
199,200,At Eternity's Gate,CBS Films,"November 16, 2018",Drama,1 hrs. 50 min.,PG-13,N/A,no dist,CBS,"$2,294,915",178,"$92,856",4,11/16,2/10
200,201,The Fall of the American Empire,Entertainment One,"June 29, 2018",Comedy,2 hrs. 7 min.,R,N/A,no dist,EOne,"$2,059,945",73,"$338,216",72,6/29,10/4
201,202,Puzzle,Sony Classics,"July 27, 2018",Drama,1 hrs. 43 min.,R,N/A,no dist,SPC,"$2,032,018",265,"$61,214",5,7/27,11/22
202,203,Met Opera: Tosca,Fathom,"January 27, 2018",Musical,3 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$2,023,749",691,"$1,498,309",691,1/27,-
203,204,A Fantastic Woman,Sony Classics,"February 2, 2018",Drama,1 hrs. 44 min.,R,N/A,n/a,SPC,"$2,020,988",190,"$64,241",5,2/2,5/20
204,205,Pope Francis - A Man of His Word,Focus Features,"May 18, 2018",Documentary,1 hrs. 36 min.,PG,N/A,"$6,600,000",Focus,"$2,008,385",385,"$507,870",346,5/18,9/30
205,206,Assassination Nation,Neon,"September 21, 2018",Thriller,1 hrs. 47 min.,R,N/A,no dist,Neon,"$2,005,142","1,403","$1,050,021","1,403",9/21,10/21
206,207,The Front Runner,Sony / Columbia,"November 6, 2018",Drama,1 hrs. 53 min.,R,N/A,"$1,242,130",Sony,"$2,000,105",807,"$51,543",4,11/6,12/20
207,208,Detective Chinatown 2,Warner Bros.,"February 16, 2018",Action Comedy,2 hrs. 0 min.,R,N/A,"$542,077,932",WB,"$1,983,984",115,"$704,047",115,2/16,4/5
208,209,Indian Horse,Elevation Pictures,"April 13, 2018",Drama,1 hrs. 41 min.,Unrated,N/A,no dist,Elevation,"$1,893,758",7,N/A,N/A,4/13,-
209,210,MET Opera: La Traviata,Fathom,"December 15, 2018",Unknown,3 hrs. 30 min.,Unrated,N/A,n/a,Fathom,"$1,882,931",725,"$1,333,159",725,12/15,12/19
210,211,Racetime,Entertainment One,"December 7, 2018",Animation,1 hrs. 29 min.,Unrated,N/A,no dist,EOne,"$1,875,283",86,"$271,061",86,12/7,4/14
211,212,Moses,Fathom,"September 13, 2018",Unknown,2 hrs. 10 min.,Unrated,N/A,no dist,Fathom,"$1,807,117",697,"$416,047",673,9/13,-
212,213,Met Opera: La Bohème (2018),Fathom,"February 24, 2018",Musical,3 hrs. 20 min.,Unrated,N/A,no dist,Fathom,"$1,764,201",687,"$1,326,339",687,2/24,2/28
213,214,Race 3,Yash Raj,"June 15, 2018",Action,2 hrs. 40 min.,Unrated,N/A,no dist,Yash,"$1,690,861",314,"$1,690,861",314,6/15,-
214,215,Pad Man,Sony / Columbia,"February 9, 2018",Drama,2 hrs. 20 min.,PG-13,N/A,"$25,588,573",Sony,"$1,670,192",152,"$740,313",152,2/9,3/8
215,216,Capernaum,Sony Classics,"December 14, 2018",Drama,2 hrs. 1 min.,R,N/A,n/a,SPC,"$1,661,096",136,"$24,988",3,12/14,-
216,217,A Private War,Aviron,"November 2, 2018",Drama,1 hrs. 46 min.,R,N/A,"$2,193,470",Aviron,"$1,633,208",865,"$60,491",4,11/2,1/24
217,218,MET Opera: Aida,Fathom,"October 6, 2018",Unknown,4 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$1,595,902",699,"$1,187,275",699,10/6,10/10
218,219,The Bookshop,Greenwich,"August 24, 2018",Drama,1 hrs. 53 min.,PG,N/A,"$9,889,806",Greenwich,"$1,588,150",136,"$75,736",4,8/24,10/11
219,220,Operation Red Sea,Well Go USA,"February 23, 2018",Action,2 hrs. 21 min.,Unrated,N/A,"$577,677,013",WGUSA,"$1,543,547",55,"$436,059",45,2/23,4/19
220,221,Destroyer,Annapurna Pictures,"December 25, 2018",Crime Thriller,2 hrs. 3 min.,R,N/A,"$4,047,616",Annapurna,"$1,533,324",235,"$55,347",3,12/25,3/21
221,222,Thugs of Hindostan,Yash Raj,"November 8, 2018",Action Drama,2 hrs. 44 min.,Unrated,N/A,no dist,Yash,"$1,449,848",377,"$1,185,386",377,11/8,-
222,223,Don't Worry He Won't Get Far on Foot,Amazon Studios,"July 13, 2018",Comedy / Drama,1 hrs. 53 min.,R,N/A,"$2,494,914",Amazon,"$1,441,705",266,"$83,339",4,7/13,9/13
223,224,Princess Mononoke - Studio Ghibli (2018),Fathom,"July 22, 2018",Animation,2 hrs. 15 min.,PG-13,N/A,no dist,Fathom,"$1,423,877",754,"$476,728",731,7/22,7/25
224,225,Finding Your Feet,Roadside Attractions,"March 30, 2018",Comedy,1 hrs. 51 min.,PG-13,N/A,n/a,RAtt.,"$1,418,682",277,"$60,132",14,3/30,6/7
225,226,Little Women (2018),Pinnacle Peak,"September 28, 2018",Drama,1 hrs. 52 min.,PG-13,N/A,no dist,Pinnacle,"$1,379,497",643,"$705,063",643,9/28,11/22
226,227,102 Not Out,Sony / Columbia,"May 4, 2018",Comedy,1 hrs. 42 min.,PG,N/A,"$10,871,092",Sony,"$1,343,797",102,"$483,681",102,5/4,6/7
227,228,Baaghi 2,FIP,"March 30, 2018",Action,2 hrs. 17 min.,Unrated,N/A,"$29,890,510",FIP,"$1,319,579",123,"$650,722",123,3/30,4/19
228,229,Never Look Away,Sony Classics,"November 30, 2018",Drama,3 hrs. 8 min.,R,N/A,n/a,SPC,"$1,303,198",122,"$25,789",1,11/30,-
229,230,The Metropolitan Opera: Cosi Fan Tutte (2018),Fathom,"March 31, 2018",Unknown,4 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$1,302,949",687,"$966,870",687,3/31,4/4
230,231,Maria by Callas,Sony Classics,"November 2, 2018",Documentary,1 hrs. 53 min.,PG,N/A,n/a,SPC,"$1,267,301",149,"$91,915",16,11/2,2/14
231,232,McQueen,Bleecker Street,"July 20, 2018",Documentary,1 hrs. 51 min.,R,N/A,no dist,BST,"$1,257,275",95,"$98,873",4,7/20,10/4
232,233,The Seagull,Sony Classics,"May 11, 2018",Drama,1 hrs. 38 min.,PG-13,N/A,no dist,SPC,"$1,252,960",211,"$79,016",6,5/11,8/16
233,234,Met Opera: Cendrillon,Fathom,"April 28, 2018",Musical,3 hrs. 15 min.,Unrated,N/A,no dist,Fathom,"$1,243,306",684,"$925,752",684,4/28,5/2
234,235,Mandy,RLJ Entertainment,"September 13, 2018",Action Horror,2 hrs. 1 min.,Unrated,N/A,n/a,RLJ,"$1,214,525",250,"$225,723",75,9/13,11/4
235,236,Grease (40th Anniversary),Fathom,"April 8, 2018",Musical,1 hrs. 50 min.,PG,N/A,no dist,Fathom,"$1,213,413",735,"$664,766",700,4/8,4/14
236,237,Beautifully Broken,ArtAffects,"August 24, 2018",Drama,1 hrs. 48 min.,PG-13,N/A,no dist,AAE,"$1,208,925",651,"$589,155",651,8/24,11/7
237,238,An Interview with God,Fathom,"August 20, 2018",Drama,1 hrs. 37 min.,Unrated,N/A,no dist,Fathom,"$1,201,434",944,N/A,N/A,8/20,8/23
238,239,Along with the Gods: The Last 49 Days,Well Go USA,"August 1, 2018",Fantasy,2 hrs. 15 min.,Unrated,N/A,no dist,WGUSA,"$1,200,246",48,"$311,743",48,8/1,9/20
239,240,MET Opera: Samson Et Dalila,Fathom,"October 20, 2018",Unknown,3 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$1,195,758",699,"$898,384",699,10/20,-
240,241,Andhadhun,Eros,"October 5, 2018",Comedy Thriller,2 hrs. 19 min.,Unrated,N/A,n/a,Eros,"$1,193,046",62,"$278,677",56,10/5,11/4
241,242,Spirited Away - Studio Ghibli Fest 2018,Fathom,"October 28, 2018",Animation,2 hrs. 4 min.,PG,N/A,no dist,Fathom,"$1,175,067",742,"$494,054",720,10/28,10/30
242,243,The Metropolitan Opera: Luisa Miller,Fathom,"April 14, 2018",Unknown,4 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$1,166,858",685,"$850,777",685,4/14,4/18
243,244,Lean on Pete,A24,"April 6, 2018",Adventure,2 hrs. 1 min.,R,N/A,n/a,A24,"$1,163,056",187,"$46,975",4,4/6,6/14
244,245,My Neighbor Totoro - Studio Ghibli Fest 2018,Fathom,"September 30, 2018",Animation,1 hrs. 40 min.,G,N/A,no dist,Fathom,"$1,144,649",718,"$539,245",718,9/30,-
245,246,Met Opera: L'Elisir d'Amore (2018),Fathom,"February 10, 2018",Musical,3 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$1,115,018",687,"$837,262",687,2/10,2/14
246,247,Wildlife,IFC,"October 19, 2018",Drama,1 hrs. 44 min.,PG-13,N/A,"$2,048,983",IFC,"$1,050,616",105,"$104,589",4,10/19,-
247,248,The Dark Crystal (special re-release),Fathom,"February 25, 2018",Fantasy,1 hrs. 40 min.,PG,N/A,no dist,Fathom,"$1,036,956",616,"$548,354",609,2/25,3/1
248,249,Zero,Yash Raj,"December 21, 2018",Comedy / Drama,2 hrs. 44 min.,Unrated,N/A,no dist,Yash,"$1,035,388",300,"$1,035,388",300,12/21,-
249,250,Met Opera: Semiramide,Fathom,"March 10, 2018",Musical,3 hrs. 29 min.,Unrated,N/A,no dist,Fathom,"$1,033,651",691,"$798,605",691,3/10,-
250,251,MET Opera: La Fanciulla Del West,Fathom,"October 27, 2018",Unknown,3 hrs. 45 min.,Unrated,N/A,no dist,Fathom,"$1,023,233",705,"$765,549",705,10/27,10/31
251,252,Nothing to Lose (2018),Swen,"May 11, 2018",Drama,2 hrs. 15 min.,PG,N/A,n/a,Swen,"$1,016,188",69,"$679,531",69,5/11,6/14
252,253,Elvis: '68 Comeback Special (2018 release),Fathom,"August 16, 2018",Concert,1 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$1,010,657",725,N/A,N/A,8/16,-
253,254,Raid (2018),Eros,"March 16, 2018",Action / Crime,2 hrs. 0 min.,Unrated,N/A,n/a,Eros,"$1,010,385",79,"$423,817",79,3/16,4/1
254,255,The Insult,Cohen Media Group,"January 12, 2018",Foreign,1 hrs. 53 min.,R,N/A,n/a,Cohen,"$1,001,305",54,"$24,600",3,1/12,4/19
255,256,Labyrinth (2018 Fathom Event),Fathom,"April 29, 2018",Fantasy,1 hrs. 41 min.,PG,N/A,no dist,Fathom,"$993,336",685,"$558,857",576,4/29,5/3
256,257,Yellow Submarine (2018 re-release),Abramorama,"July 8, 2018",Animation,1 hrs. 30 min.,G,N/A,no dist,Abr.,"$992,305",188,"$107,105",73,7/8,9/30
257,258,Little Italy,Entertainment One,"August 24, 2018",Romantic Comedy,1 hrs. 42 min.,R,N/A,n/a,EOne,"$990,230",133,"$283,399",133,8/24,11/8
258,259,The Dawn Wall (Fathom),Fathom,"September 19, 2018",Documentary,1 hrs. 40 min.,Unrated,N/A,no dist,Fathom,"$970,032",593,N/A,N/A,9/19,-
259,260,TCM: White Christmas,Fathom,"December 9, 2018",Musical,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$928,298",638,"$566,045",638,12/9,12/12
260,261,Kirk Cameron: Connect,Fathom,"February 27, 2018",Documentary,1 hrs. 10 min.,Unrated,N/A,no dist,Fathom,"$918,127",781,N/A,N/A,2/27,3/1
261,262,The Miseducation of Cameron Post,FilmRise,"August 3, 2018",Drama,1 hrs. 35 min.,Unrated,N/A,n/a,FR,"$904,703",85,"$48,638",2,8/3,9/30
262,263,Kedarnath,PackYourBag,"December 7, 2018",Drama,1 hrs. 56 min.,Unrated,N/A,n/a,PackYourBag,"$901,131",113,"$407,118",113,12/7,1/3
263,264,Let the Sunshine In,IFC,"April 27, 2018",Comedy / Drama,1 hrs. 34 min.,Unrated,N/A,no dist,IFC,"$892,421",67,"$39,699",2,4/27,7/26
264,265,Tea with the Dames,IFC,"September 21, 2018",Documentary,1 hrs. 24 min.,Unrated,N/A,no dist,IFC,"$889,343",71,"$14,777",1,9/21,1/20
265,266,The Cakemaker,Strand,"June 29, 2018",Drama,1 hrs. 44 min.,Unrated,N/A,no dist,Strand,"$875,751",34,"$33,384",4,6/29,11/8
266,267,MET Opera: Marnie,Fathom,"November 10, 2018",Unknown,3 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$849,710",669,"$639,253",669,11/10,11/14
267,268,Bandstand: The Broadway Musical,Fathom,"June 25, 2018",Musical,2 hrs. 10 min.,Unrated,N/A,no dist,Fathom,"$839,554",720,N/A,N/A,6/25,6/28
268,269,Schindler's List (2018 re-release),Universal,"December 7, 2018",Drama,3 hrs. 15 min.,R,N/A,n/a,Uni.,"$833,050","1,029","$566,760","1,029",12/7,12/13
269,270,Like Arrows,Fathom,"May 1, 2018",Drama,1 hrs. 40 min.,Unrated,N/A,no dist,Fathom,"$817,990",818,N/A,N/A,5/1,5/3
270,271,Mirai,GKIDS,"November 29, 2018",Animation,1 hrs. 38 min.,PG,N/A,n/a,GK,"$812,794",780,"$63,325",69,11/29,2/21
271,272,Beast,Roadside Attractions,"May 11, 2018",Thriller,1 hrs. 47 min.,R,N/A,n/a,RAtt.,"$800,365",93,"$53,248",4,5/11,7/5
272,273,Sui Dhaaga - Made in India,Yash Raj,"September 28, 2018",Drama,2 hrs. 16 min.,Unrated,N/A,no dist,Yash,"$790,628",193,"$581,950",193,9/28,10/4
273,274,Pokemon the Movie: The Power of Us,Fathom,"November 24, 2018",Animation,1 hrs. 52 min.,Unrated,N/A,n/a,Fathom,"$789,170",999,"$255,299",989,11/24,-
274,275,Border,Neon,"October 26, 2018",Drama,1 hrs. 41 min.,R,N/A,no dist,Neon,"$771,930",74,"$73,700",7,10/26,1/6
275,276,The Party (2017),Roadside Attractions,"February 16, 2018",Comedy,1 hrs. 11 min.,R,N/A,n/a,RAtt.,"$749,827",92,"$37,396",3,2/16,5/10
276,277,How Long Will I Love U,Well Go USA,"May 25, 2018",Comedy,1 hrs. 41 min.,Unrated,N/A,"$82,134,386",WGUSA,"$746,933",32,"$204,733",23,5/25,6/28
277,278,On Chesil Beach,Bleecker Street,"May 18, 2018",Drama,1 hrs. 50 min.,R,N/A,no dist,BST,"$745,971",203,"$35,765",4,5/18,7/12
278,279,The Polar Express (2018 re-release),Warner Bros.,"November 2, 2018",Animation,1 hrs. 40 min.,G,N/A,no dist,WB,"$731,018",392,N/A,N/A,11/2,-
279,280,Vox Lux,Neon,"December 7, 2018",Drama,1 hrs. 54 min.,R,N/A,no dist,Neon,"$727,119",325,"$155,714",6,12/7,1/6
280,281,The Catcher Was a Spy,IFC,"June 22, 2018",Drama,1 hrs. 38 min.,R,N/A,"$228,730",IFC,"$725,223",52,"$114,771",46,6/22,8/23
281,282,Burning,Well Go USA,"October 26, 2018",Drama,2 hrs. 28 min.,Unrated,N/A,n/a,WGUSA,"$718,991",27,"$26,130",2,10/26,3/7
282,283,The Little Stranger,Focus Features,"August 31, 2018",Drama,1 hrs. 51 min.,R,N/A,no dist,Focus,"$713,143",477,"$401,563",474,8/31,9/13
283,284,Canelo vs. GGG 2,Fathom,"September 15, 2018",Unknown,N/A,Unrated,N/A,no dist,Fathom,"$707,875",533,"$707,875",533,9/15,-
284,285,Monster Hunt 2,Lionsgate,"February 16, 2018",Fantasy,1 hrs. 50 min.,Unrated,N/A,"$360,976,465",LGF,"$706,153",69,"$341,834",69,2/16,3/8
285,286,Blaze (2018),IFC,"August 17, 2018",Drama,2 hrs. 7 min.,R,N/A,no dist,IFC,"$704,955",88,"$44,050",3,8/17,11/29
286,287,Boundaries,Sony Classics,"June 22, 2018",Comedy / Drama,1 hrs. 50 min.,R,N/A,no dist,SPC,"$703,438",224,"$29,552",5,6/22,9/6
287,288,Jim Henson's Holiday Special with Fraggle Rock and Emmet Otter,Fathom,"December 10, 2018",Musical,1 hrs. 30 min.,Unrated,N/A,no dist,Fathom,"$695,130",623,"$473,802",536,12/10,12/16
288,289,The Trump Prophecy,Fathom,"October 2, 2018",Drama,2 hrs. 0 min.,Unrated,N/A,no dist,Fathom,"$671,198",608,N/A,N/A,10/2,-
289,290,The Island (2018),Well Go USA,"August 10, 2018",Comedy / Drama,2 hrs. 14 min.,Unrated,N/A,no dist,WGUSA,"$670,883",40,"$263,412",40,8/10,9/16
290,291,Dragon Ball Z: Broly - The Legendary Super Saiyan (2018 re-release),Fathom,"September 15, 2018",Animation,1 hrs. 12 min.,Unrated,N/A,no dist,Fathom,"$658,982",681,"$357,322",681,9/15,9/19
291,292,Ponyo (10th Anniversary) - Studio Ghibli Fest 2018,Fathom,"March 25, 2018",Animation,1 hrs. 40 min.,G,N/A,no dist,Fathom,"$653,072",757,"$281,697",726,3/25,3/28
292,293,Lizzie,Roadside Attractions,"September 14, 2018",Thriller,1 hrs. 46 min.,R,N/A,no dist,RAtt.,"$642,157",240,"$47,580",4,9/14,10/25
293,294,"Love, Gilda",Magnolia,"September 21, 2018",Documentary,1 hrs. 26 min.,Unrated,N/A,no dist,Magn.,"$626,318",112,"$189,639",82,9/21,11/15
294,295,Transformers: The Movie (2018 re-release),Fathom,"September 27, 2018",Animation,1 hrs. 24 min.,PG,N/A,no dist,Fathom,"$619,597",742,N/A,N/A,9/27,9/27
295,296,Foxtrot,Sony Classics,"March 2, 2018",Drama,1 hrs. 48 min.,R,N/A,n/a,SPC,"$618,883",45,"$31,629",4,3/2,6/21
