,#,name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date
27,28,Creed II,MGM,"November 21, 2018",Sports Drama,1 hrs. 57 min.,PG-13,$50 million,"$98,300,000",MGM,"$115,715,889","3,752","$35,574,710","3,441",11/21,3/21
28,29,Peter Rabbit,Sony / Columbia,"February 9, 2018",Family,1 hrs. 33 min.,PG,$50 million,"$236,013,009",Sony,"$115,253,424","3,725","$25,010,928","3,725",2/9,6/14
29,30,The Mule,Warner Bros.,"December 14, 2018",Crime Drama,1 hrs. 56 min.,R,$50 million,"$68,700,000",WB,"$103,804,407","3,329","$17,509,431","2,588",12/14,3/14
30,31,The Equalizer 2,Sony / Columbia,"July 20, 2018",Thriller,2 hrs. 1 min.,R,$62 million,"$88,315,795",Sony,"$102,084,362","3,388","$36,011,640","3,388",7/20,9/20
31,32,Rampage (2018),Warner Bros. (New Line),"April 13, 2018",Action / Adventure,1 hrs. 47 min.,PG-13,$120 million,"$327,000,000",WB (NL),"$101,028,233","4,115","$35,753,093","4,101",4/13,7/26
32,33,A Wrinkle in Time,Buena Vista,"March 9, 2018",Fantasy,1 hrs. 55 min.,PG,N/A,"$32,197,256",BV,"$100,478,608","3,980","$33,123,609","3,980",3/9,7/5
33,34,Fifty Shades Freed,Universal,"February 9, 2018",Romance,1 hrs. 45 min.,R,$55 million,"$271,501,689",Uni.,"$100,407,760","3,768","$38,560,195","3,768",2/9,4/5
34,35,Disney's Christopher Robin,Buena Vista,"August 3, 2018",Fantasy,1 hrs. 44 min.,PG,$75 million,"$98,529,335",BV,"$99,215,042","3,602","$24,585,139","3,602",8/3,11/29
35,36,Green Book,Universal,"November 16, 2018",Comedy / Drama,2 hrs. 10 min.,PG-13,$23 million,"$234,657,190",Uni.,"$85,080,171","2,648","$320,429",25,11/16,5/2
36,37,I Can Only Imagine,Roadside Attractions,"March 16, 2018",Family,1 hrs. 50 min.,PG,$7 million,no dist,RAtt.,"$83,482,352","2,894","$17,108,914","1,629",3/16,7/12
37,38,Smallfoot,Warner Bros.,"September 28, 2018",Animation,1 hrs. 27 min.,PG,N/A,"$130,900,000",WB,"$83,240,103","4,131","$23,045,635","4,131",9/28,1/17
38,39,Night School (2018),Universal,"September 28, 2018",Comedy,1 hrs. 51 min.,PG-13,$29 million,"$25,765,819",Uni.,"$77,339,130","3,019","$27,257,615","3,010",9/28,1/3
39,40,The First Purge,Universal,"July 4, 2018",Thriller,1 hrs. 37 min.,R,$13 million,"$67,497,457",Uni.,"$69,488,745","3,038","$17,374,280","3,031",7/4,9/6
40,41,Game Night,Warner Bros. (New Line),"February 23, 2018",Action Comedy,1 hrs. 40 min.,R,$37 million,"$48,500,000",WB (NL),"$69,179,066","3,502","$17,005,332","3,488",2/23,6/21
41,42,Book Club,Paramount,"May 18, 2018",Comedy,1 hrs. 44 min.,PG-13,N/A,n/a,Par.,"$68,566,296","3,169","$13,582,231","2,781",5/18,8/9
42,43,The House With A Clock In Its Walls,Universal,"September 21, 2018",Fantasy,1 hrs. 44 min.,PG,$42 million,"$62,907,452",Uni.,"$68,549,695","3,592","$26,608,020","3,592",9/21,1/3
43,44,Skyscraper,Universal,"July 13, 2018",Action,1 hrs. 42 min.,PG-13,$125 million,"$236,448,841",Uni.,"$68,420,120","3,822","$24,905,015","3,782",7/13,9/27
44,45,Insidious: The Last Key,Universal,"January 5, 2018",Horror,1 hrs. 43 min.,PG-13,$10 million,"$100,140,258",Uni.,"$67,745,330","3,150","$29,581,355","3,116",1/5,3/29
45,46,Instant Family,Paramount,"November 16, 2018",Comedy,1 hrs. 59 min.,PG-13,$48 million,"$53,192,964",Par.,"$67,363,237","3,426","$14,504,315","3,286",11/16,1/31
46,47,Blockers,Universal,"April 6, 2018",Comedy,1 hrs. 42 min.,R,$21 million,"$33,733,798",Uni.,"$60,311,495","3,418","$20,556,350","3,379",4/6,8/2
47,48,Pacific Rim Uprising,Universal,"March 23, 2018",Sci-Fi Action,1 hrs. 51 min.,PG-13,$150 million,"$231,055,623",Uni.,"$59,874,525","3,708","$28,116,535","3,708",3/23,7/26
48,49,Tomb Raider,Warner Bros.,"March 16, 2018",Action / Adventure,1 hrs. 58 min.,PG-13,$94 million,"$216,400,000",WB,"$58,250,803","3,854","$23,633,317","3,854",3/16,5/31
49,50,Maze Runner: The Death Cure,Fox,"January 26, 2018",Sci-Fi Adventure,2 hrs. 22 min.,PG-13,$62 million,"$230,229,298",Fox,"$58,032,443","3,793","$24,167,011","3,787",1/26,5/3
50,51,The Nutcracker and the Four Realms,Buena Vista,"November 2, 2018",Adventure,1 hrs. 39 min.,PG,$120 million,"$119,102,218",BV,"$54,858,851","3,766","$20,352,491","3,766",11/2,1/17
51,52,Tag,Warner Bros. (New Line),"June 15, 2018",Comedy,1 hrs. 40 min.,R,$28 million,"$23,400,000",WB (NL),"$54,730,625","3,382","$14,947,396","3,382",6/15,9/13
52,53,A Simple Favor,Lionsgate,"September 14, 2018",Thriller,1 hrs. 56 min.,R,$20 million,"$44,096,031",LGF,"$53,548,586","3,102","$16,011,689","3,102",9/14,11/22
53,54,Life of the Party ,Warner Bros. (New Line),"May 11, 2018",Comedy,1 hrs. 45 min.,PG-13,N/A,"$12,800,000",WB (NL),"$53,059,911","3,656","$17,886,075","3,656",5/11,8/2
54,55,The Predator (2018),Fox,"September 14, 2018",Sci-Fi Action,1 hrs. 48 min.,R,$88 million,"$109,517,426",Fox,"$51,024,708","4,070","$24,632,284","4,037",9/14,11/29
55,56,Overboard (2018),Pantelion,"May 4, 2018",Romantic Comedy,1 hrs. 52 min.,PG-13,$12 million,"$40,928,790",PNT,"$50,316,123","2,006","$14,711,101","1,623",5/4,7/5
