name,distributor_full_name,release_date,genre,runtime,rating,budget,rest_world,studio,total_gross,theaters_total,opening,theaters_opening,open_date,close_date,days_in_theaters,imdb_rating,directors,cinemascore_name,cinemascore_rating,RT_name,RT_rating,is_Action,is_Animation,is_Drama,is_Horror,is_Comedy,is_Adventure,is_Music,is_Sci-Fi,is_Thriller,is_Documentary,is_Romance,is_Fantasy,studio_uni,studio_WB,studio_Fox,studio_Sony,studio_STX,studio_LGF,studio_BV,studio_Focus,studio_Fathom,studio_Magn,studio_IFC,studio_WGUSA,studio_KL,rating_G,rating_Not Yet Rated,rating_PG,rating_PG-13,rating_R,rating_Unknown,rating_Unrated,CS_rating_A,CS_rating_A+,CS_rating_A-,CS_rating_B,CS_rating_B+,CS_rating_B-,CS_rating_C,CS_rating_C+,CS_rating_C-,CS_rating_D+,CS_rating_D-
A Star is Born (2018),Warner Bros.,"October 5, 2018",Music Drama,136.0,R,36.0,218900000,WB,215288866.0,3904,42908051,3904,10/5,4/4,181.0,7.8,Bradley Cooper,,,,,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Solo: A Star Wars Story,Buena Vista,"May 25, 2018",Action / Adventure,135.0,PG-13,275.0,179157295,BV,213767512.0,4381,84420489,4381,5/25,9/20,118.0,7.0,Ron Howard,SOLO: A STAR WARS STORY (2018),A-,Solo: A Star Wars Story,70.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Venom (2018),Sony / Columbia,"October 5, 2018",Action,112.0,PG-13,100.0,641498448,Sony,213515506.0,4250,80255756,4250,10/5,1/24,111.0,6.7,Ruben Fleischer,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralph Breaks the Internet,Buena Vista,"November 21, 2018",Animation,112.0,PG,175.0,328069706,BV,201091711.0,4017,56237634,4017,11/21,4/11,141.0,7.1,Phil Johnston & Rich Moore,RALPH BREAKS THE INTERNET (2018),A-,Ralph Breaks the Internet,89.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spider-Man: Into The Spider-Verse,Sony / Columbia,"December 14, 2018",Animation,117.0,PG,90.0,185198765,Sony,190241310.0,3813,35363376,3813,12/14,4/4,111.0,8.5,Bob Persichetti & Peter Ramsey & Rodney Rothman,SPIDER-MAN: INTO THE SPIDER-VERSE (2018),A+,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
A Quiet Place,Paramount,"April 6, 2018",Horror Thriller,95.0,PG-13,17.0,152915000,Par.,188024361.0,3808,50203562,3808,4/6,8/2,118.0,7.6,John Krasinski,,,A Quiet Place,95.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crazy Rich Asians,Warner Bros.,"August 15, 2018",Romantic Comedy,120.0,PG-13,30.0,64000000,WB,174532921.0,3865,26510140,3865,8/15,1/10,148.0,7.0,Jon M. Chu,CRAZY RICH ASIANS (2018),A,Crazy Rich Asians,91.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Mary Poppins Returns,Buena Vista,"December 19, 2018",Musical,130.0,PG,130.0,177523973,BV,171958438.0,4090,23523121,4090,12/19,4/11,113.0,6.9,Rob Marshall,MARY POPPINS RETURNS (2018),A-,Mary Poppins Returns,79.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hotel Transylvania 3: Summer Vacation,Sony / Columbia,"July 13, 2018",Animation,97.0,PG,80.0,361073758,Sony,167510016.0,4267,44076225,4267,7/13,11/29,139.0,6.3,Genndy Tartakovsky,HOTEL TRANSYLVANIA 3: SUMMER VACATION (2018),A-,Hotel Transylvania 3: Summer Vacation,61.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Fantastic Beasts: The Crimes of Grindelwald,Warner Bros.,"November 16, 2018",Fantasy,134.0,PG-13,200.0,494100000,WB,159555901.0,4163,62163104,4163,11/16,2/21,97.0,6.6,David Yates,FANTASTIC BEASTS: THE CRIMES OF GRINDELWALD (2018),B+,Fantastic Beasts: The Crimes of Grindelwald,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
